init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 2.27408594e-01 3.30619e-03 0.00000e+00 9.98339e-05 9.38229e+01
10 1.45539303e+00 3.28342e-03 3.27046e-02 8.81142e-05 9.54709e+01
20 2.78386222e+00 3.18032e-03 6.50196e-02 9.11752e-05 9.67176e+01
30 4.12290589e+00 3.06900e-03 9.65214e-02 9.07509e-05 9.55679e+01
40 5.47334740e+00 2.94932e-03 1.26746e-01 9.85907e-05 9.66985e+01
50 6.87927144e+00 2.91941e-03 1.55888e-01 9.28167e-05 9.80097e+01
60 8.27479773e+00 2.88935e-03 1.85059e-01 9.99991e-05 9.83945e+01
70 9.69935296e+00 2.81162e-03 2.13484e-01 9.25396e-05 9.99568e+01
80 1.11078805e+01 2.76070e-03 2.41124e-01 9.61164e-05 1.01123e+02
90 1.25288181e+01 2.66439e-03 2.68402e-01 9.59510e-05 1.02093e+02
100 1.39608767e+01 2.61284e-03 2.94785e-01 8.73010e-05 1.00807e+02
110 1.54104930e+01 2.43800e-03 3.19608e-01 9.61502e-05 1.04430e+02
120 1.68630773e+01 2.14059e-03 3.42887e-01 9.45335e-05 1.04693e+02
130 1.83095130e+01 2.10813e-03 3.63679e-01 9.72815e-05 1.14152e+02
140 1.97687575e+01 1.81175e-03 3.82480e-01 8.61621e-05 1.07774e+02
150 2.12145577e+01 1.86481e-03 4.00656e-01 9.95695e-05 1.17927e+02
160 2.26729259e+01 1.87275e-03 4.19041e-01 8.97084e-05 1.20956e+02
170 2.41265579e+01 1.41629e-03 4.35124e-01 8.97730e-05 1.19152e+02
180 2.55891248e+01 1.61282e-03 4.50093e-01 9.14689e-05 1.20229e+02
190 2.70592761e+01 1.50581e-03 4.65898e-01 9.97727e-05 1.39338e+02
200 2.85175558e+01 1.45739e-03 4.80902e-01 8.95539e-05 1.33921e+02
210 2.99698207e+01 1.19634e-03 4.94006e-01 9.73762e-05 1.49690e+02
220 3.13425665e+01 1.28890e-03 5.06519e-01 9.41893e-05 1.34926e+02
230 3.28149268e+01 1.36752e-03 5.20252e-01 9.64179e-05 1.25150e+02
240 3.42562113e+01 1.25566e-03 5.33693e-01 9.67003e-05 1.29025e+02
250 3.56958244e+01 1.47806e-03 5.48343e-01 9.59916e-05 1.37054e+02
260 3.71600348e+01 1.43451e-03 5.62360e-01 9.11731e-05 1.25076e+02
270 3.85973205e+01 1.49226e-03 5.76930e-01 9.34165e-05 1.30586e+02
280 4.00329197e+01 1.15187e-03 5.90552e-01 8.96734e-05 1.29322e+02
290 4.14723831e+01 1.32604e-03 6.02357e-01 9.63371e-05 1.38159e+02
300 4.28789792e+01 1.40814e-03 6.15855e-01 9.85971e-05 1.34070e+02
310 4.42933089e+01 1.79278e-03 6.31822e-01 9.98527e-05 1.26420e+02
320 4.57152931e+01 1.70098e-03 6.49154e-01 9.87269e-05 1.28729e+02
330 4.71063140e+01 1.68150e-03 6.65704e-01 8.44154e-05 1.15414e+02
340 4.84918518e+01 1.90780e-03 6.82082e-01 9.78356e-05 1.17183e+02
350 4.99008890e+01 1.69749e-03 7.00614e-01 9.58218e-05 1.23838e+02
360 5.12996132e+01 1.77089e-03 7.18508e-01 8.10518e-05 1.12691e+02
370 5.26822571e+01 1.84405e-03 7.36339e-01 8.06437e-05 1.10342e+02
380 5.40897392e+01 2.00946e-03 7.56000e-01 9.23670e-05 1.12662e+02
390 5.54916013e+01 1.70767e-03 7.75174e-01 9.23243e-05 1.09449e+02
400 5.68780627e+01 2.04207e-03 7.94200e-01 9.02031e-05 1.18496e+02
410 5.82612771e+01 2.07839e-03 8.15250e-01 9.87455e-05 1.07156e+02
420 5.96387803e+01 2.03244e-03 8.36124e-01 9.99556e-05 1.08775e+02
430 6.10129281e+01 2.20668e-03 8.57971e-01 8.42136e-05 1.14414e+02
440 6.23876554e+01 2.17237e-03 8.80201e-01 9.77758e-05 1.12695e+02
450 6.37456286e+01 2.24617e-03 9.02573e-01 8.78455e-05 1.06371e+02
460 6.50941767e+01 2.00327e-03 9.25033e-01 9.20281e-05 1.03452e+02
470 6.64570389e+01 2.34092e-03 9.47140e-01 9.37940e-05 1.05595e+02
480 6.78284917e+01 2.51532e-03 9.71818e-01 9.72812e-05 1.10093e+02
490 6.91890658e+01 2.49684e-03 9.96690e-01 9.38459e-05 1.00908e+02
