#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.85648582e+02 8.45842389e-03
9.76545766e-03 1.81294336e+00 1.77376774e+02 7.66226246e-03
2.03868308e-02 3.78478622e+00 1.70271180e+02 7.16384411e-03
3.19287199e-02 5.92752157e+00 1.55262968e+02 8.01978611e-03
4.44586130e-02 8.25367845e+00 1.33035472e+02 1.14540870e-02
5.80466159e-02 1.07762719e+01 1.07851881e+02 1.66924696e-02
7.27650869e-02 1.35087352e+01 8.42009173e+01 2.07754088e-02
8.86881595e-02 1.64648310e+01 6.45721951e+01 2.07188828e-02
1.05891143e-01 1.96585406e+01 4.94173063e+01 1.65106609e-02
1.24449787e-01 2.31039264e+01 3.81064720e+01 1.02216981e-02
1.44439395e-01 2.68149688e+01 2.97608395e+01 2.87802568e-03
1.65933788e-01 3.08053724e+01 2.35970112e+01 -4.97473276e-03
1.89004103e-01 3.50883437e+01 1.90120174e+01 -1.08410687e-02
2.13717431e-01 3.96763380e+01 1.55610338e+01 -1.50327906e-02
2.40135301e-01 4.45807781e+01 1.29345438e+01 -1.83452603e-02
2.68312022e-01 4.98117463e+01 1.09158298e+01 -1.78665526e-02
2.98292904e-01 5.53776546e+01 9.34728399e+00 -1.56826436e-02
3.30112398e-01 6.12848986e+01 8.11823677e+00 -1.27639465e-02
3.63792187e-01 6.75375035e+01 7.12458240e+00 -7.97140701e-03
3.99339287e-01 7.41367722e+01 6.30322724e+00 -4.49437526e-03
4.36744233e-01 8.10809474e+01 5.61355940e+00 -3.28635447e-03
4.75979406e-01 8.83649017e+01 5.01812823e+00 -3.59044880e-03
5.16997593e-01 9.59798699e+01 4.48901408e+00 -5.31587038e-03
5.59730861e-01 1.03913241e+02 3.99748987e+00 -5.86705638e-03
6.04089831e-01 1.12148420e+02 3.52558311e+00 -3.78629450e-03
6.49963418e-01 1.20664787e+02 3.06406524e+00 -1.94319071e-03
6.97219115e-01 1.29437740e+02 2.60933858e+00 -2.73495167e-03
7.45703856e-01 1.38438863e+02 2.16198621e+00 -1.99302486e-03
7.95245476e-01 1.47636195e+02 1.72141280e+00 4.31048180e-03
8.45654784e-01 1.56994611e+02 1.28918717e+00 1.47293931e-02
8.96728184e-01 1.66476316e+02 8.60951164e-01 2.58763487e-02
9.48250800e-01 1.76041416e+02 4.29316957e-01 3.20029969e-02
1.00000000e+00 1.85648582e+02 -5.37340235e-03 3.19299639e-02
1.05174920e+00 1.95255747e+02 -4.31659644e-01 2.83672491e-02
1.10327182e+00 2.04820848e+02 -8.50355862e-01 2.36966419e-02
1.15434522e+00 2.14302552e+02 -1.28149292e+00 1.84230474e-02
1.20475452e+00 2.23660969e+02 -1.72103994e+00 1.36651961e-02
1.25429614e+00 2.32858300e+02 -2.16302083e+00 7.94331698e-03
1.30278088e+00 2.41859423e+02 -2.60879595e+00 8.16747856e-04
1.35003658e+00 2.50632377e+02 -3.06086729e+00 -5.74634431e-03
1.39591017e+00 2.59148743e+02 -3.52075198e+00 -1.15658559e-02
1.44026914e+00 2.67383923e+02 -3.99287585e+00 -1.66080056e-02
1.48300241e+00 2.75317293e+02 -4.49473884e+00 -1.87118222e-02
1.52402059e+00 2.82932262e+02 -5.03691211e+00 -1.99480227e-02
1.56325577e+00 2.90216216e+02 -5.63882082e+00 -2.07039529e-02
1.60066071e+00 2.97160391e+02 -6.33940073e+00 -1.82963077e-02
1.63620781e+00 3.03759660e+02 -7.16926497e+00 -1.40657709e-02
1.66988760e+00 3.10012265e+02 -8.17264141e+00 -1.00137932e-02
1.70170710e+00 3.15919509e+02 -9.41558553e+00 -8.44082519e-03
1.73168798e+00 3.21485417e+02 -1.09847808e+01 -1.10715432e-02
1.75986470e+00 3.26716385e+02 -1.29976221e+01 -1.63871690e-02
1.78628257e+00 3.31620825e+02 -1.56178089e+01 -2.30334815e-02
1.81099590e+00 3.36208820e+02 -1.90766668e+01 -2.72018782e-02
1.83406621e+00 3.40491791e+02 -2.36890310e+01 -2.57475637e-02
1.85556060e+00 3.44482195e+02 -2.98854297e+01 -1.96976539e-02
1.87555021e+00 3.48193237e+02 -3.82644730e+01 -1.13515792e-02
1.89410886e+00 3.51638623e+02 -4.96172860e+01 -2.57371149e-03
1.91131184e+00 3.54832332e+02 -6.48328392e+01 5.42883225e-03
1.92723491e+00 3.57788428e+02 -8.45475217e+01 1.11857883e-02
1.94195338e+00 3.60520891e+02 -1.08288261e+02 1.35690411e-02
1.95554139e+00 3.63043485e+02 -1.33497732e+02 1.29878477e-02
1.96807128e+00 3.65369642e+02 -1.55623764e+02 1.11889428e-02
1.97961317e+00 3.67512377e+02 -1.70428915e+02 1.02828397e-02
1.99023454e+00 3.69484220e+02 -1.74781324e+02 1.04122664e-02
2.00000000e+00 3.71297163e+02 -1.80103308e+02 1.00945419e-02
