#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.85790768e+02 2.60158746e-02
9.76545766e-03 1.81433188e+00 1.77569222e+02 2.44042487e-02
2.03868308e-02 3.78768495e+00 1.70240105e+02 2.35161495e-02
3.19287199e-02 5.93206141e+00 1.55031711e+02 2.21454528e-02
4.44586130e-02 8.25999987e+00 1.32583246e+02 2.02092531e-02
5.80466159e-02 1.07845254e+01 1.07191675e+02 1.74220154e-02
7.27650869e-02 1.35190814e+01 8.34309689e+01 1.38274990e-02
8.86881595e-02 1.64774413e+01 6.38023049e+01 1.01313064e-02
1.05891143e-01 1.96735969e+01 4.87129663e+01 6.28368224e-03
1.24449787e-01 2.31216216e+01 3.74915074e+01 8.34041945e-04
1.44439395e-01 2.68355062e+01 2.92266365e+01 -5.64595473e-03
1.65933788e-01 3.08289660e+01 2.31276752e+01 -1.01060036e-02
1.89004103e-01 3.51152176e+01 1.85972231e+01 -1.24276044e-02
2.13717431e-01 3.97067258e+01 1.51997108e+01 -1.31561389e-02
2.40135301e-01 4.46149221e+01 1.26222938e+01 -1.14110277e-02
2.68312022e-01 4.98498967e+01 1.06427266e+01 -9.18834843e-03
2.98292904e-01 5.54200679e+01 9.09867053e+00 -7.96230311e-03
3.30112398e-01 6.13318362e+01 7.87797905e+00 -7.74469902e-03
3.63792187e-01 6.75892299e+01 6.90453503e+00 -7.60874212e-03
3.99339287e-01 7.41935529e+01 6.11107787e+00 -4.66047770e-03
4.36744233e-01 8.11430467e+01 5.44632711e+00 1.60448610e-04
4.75979406e-01 8.84325796e+01 4.87685953e+00 4.66850445e-03
5.16997593e-01 9.60533801e+01 4.38199329e+00 7.90606287e-03
5.59730861e-01 1.03992827e+02 3.94195125e+00 8.59398886e-03
6.04089831e-01 1.12234314e+02 3.53299101e+00 6.00227329e-03
6.49963418e-01 1.20757203e+02 3.13903832e+00 2.51845384e-03
6.97219115e-01 1.29536875e+02 2.74732949e+00 1.10181974e-03
7.45703856e-01 1.38544892e+02 2.34523378e+00 1.47446772e-03
7.95245476e-01 1.47749268e+02 1.92232777e+00 1.37542615e-03
8.45654784e-01 1.57114852e+02 1.47439763e+00 5.42847104e-04
8.96728184e-01 1.66603818e+02 1.00259664e+00 8.05888713e-04
9.48250800e-01 1.76176245e+02 5.09565337e-01 2.35095128e-03
1.00000000e+00 1.85790768e+02 9.89260074e-05 3.42967531e-03
1.05174920e+00 1.95405292e+02 -5.10228711e-01 3.31877236e-03
1.10327182e+00 2.04977718e+02 -1.00510296e+00 2.15076303e-03
1.15434522e+00 2.14466685e+02 -1.47549579e+00 1.31924454e-03
1.20475452e+00 2.23832269e+02 -1.91703211e+00 1.06858864e-04
1.25429614e+00 2.33036644e+02 -2.33146657e+00 -2.97538280e-03
1.30278088e+00 2.42044662e+02 -2.73007380e+00 -6.77913146e-03
1.35003658e+00 2.50824334e+02 -3.12415413e+00 -8.53345930e-03
1.39591017e+00 2.59347223e+02 -3.52520803e+00 -1.00318252e-02
1.44026914e+00 2.67588710e+02 -3.94284724e+00 -1.06933015e-02
1.48300241e+00 2.75528157e+02 -4.39181568e+00 -7.86737182e-03
1.52402059e+00 2.83148957e+02 -4.88889324e+00 -6.53670390e-03
1.56325577e+00 2.90438490e+02 -5.45446237e+00 -8.57426903e-03
1.60066071e+00 2.97387984e+02 -6.11715769e+00 -1.03683001e-02
1.63620781e+00 3.03992307e+02 -6.91645411e+00 -1.25783878e-02
1.66988760e+00 3.10249701e+02 -7.90311530e+00 -1.45736865e-02
1.70170710e+00 3.16161469e+02 -9.13098439e+00 -1.06881630e-02
1.73168798e+00 3.21731640e+02 -1.06834250e+01 -4.95557580e-03
1.75986470e+00 3.26966615e+02 -1.26829572e+01 -1.22709245e-03
1.78628257e+00 3.31874811e+02 -1.52879465e+01 2.35331534e-03
1.81099590e+00 3.36466319e+02 -1.87159520e+01 6.60889548e-03
1.83406621e+00 3.40752571e+02 -2.32798031e+01 9.93828996e-03
1.85556060e+00 3.44746031e+02 -2.94252884e+01 1.06861780e-02
1.87555021e+00 3.48459915e+02 -3.77611165e+01 1.09530476e-02
1.89410886e+00 3.51907940e+02 -4.90752217e+01 1.13952976e-02
1.91131184e+00 3.55104095e+02 -6.42659352e+01 1.16360406e-02
1.92723491e+00 3.58062455e+02 -8.39779972e+01 1.19795299e-02
1.94195338e+00 3.60797011e+02 -1.07754488e+02 1.30679511e-02
1.95554139e+00 3.63321537e+02 -1.33031905e+02 1.64151478e-02
1.96807128e+00 3.65649475e+02 -1.55219311e+02 2.20351446e-02
1.97961317e+00 3.67793852e+02 -1.70105323e+02 2.73007356e-02
1.99023454e+00 3.69767205e+02 -1.74624556e+02 3.00291677e-02
2.00000000e+00 3.71581537e+02 -1.79881472e+02 2.92764268e-02
