#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.07668986e-01 1.28887893e-01 9.59563648e-05 2.18797688e-02 -1.01718459e-03 3.53155961e-05 -1.52305942e-07
1.50761442e-02 2.80256164e+00 1.08573528e+00 1.23391491e-03 1.22043699e-01 -1.44951189e-02 3.57617602e-04 -1.41327208e-06
2.61577753e-02 4.86256809e+00 2.95401159e+00 6.02249243e-03 2.53727095e-01 -6.50670732e-02 1.09873257e-03 -5.19001059e-06
3.81936665e-02 7.09996556e+00 5.21271198e+00 1.79314622e-02 3.83431282e-01 -1.62415893e-01 2.19776375e-03 -2.10276438e-05
5.12526145e-02 9.52754294e+00 7.10995290e+00 3.92347346e-02 5.02508098e-01 -2.87046471e-01 3.39203623e-03 -5.50815951e-05
6.54058514e-02 1.21585418e+01 8.22391226e+00 7.08385506e-02 6.10718867e-01 -4.10645582e-01 4.48561150e-03 -9.66411506e-05
8.07266232e-02 1.50065782e+01 8.57247745e+00 1.12282331e-01 7.06980874e-01 -5.14032673e-01 5.27995855e-03 -1.31799940e-04
9.72896514e-02 1.80855424e+01 8.38456841e+00 1.61849915e-01 7.88413237e-01 -5.90966703e-01 5.64079938e-03 -1.55561586e-04
1.15170465e-01 2.14094747e+01 7.89265819e+00 2.17051947e-01 8.52599796e-01 -6.43606782e-01 5.59074554e-03 -1.78918273e-04
1.34444591e-01 2.49924151e+01 7.25947604e+00 2.74966580e-01 8.99164920e-01 -6.76732311e-01 5.35651981e-03 -2.15810270e-04
1.55186592e-01 2.88482243e+01 6.58312353e+00 3.32512196e-01 9.29668226e-01 -6.94929472e-01 5.11224471e-03 -2.77162986e-04
1.77468946e-01 3.29903756e+01 5.91822034e+00 3.86725950e-01 9.46469315e-01 -7.01840108e-01 4.94760583e-03 -3.52143190e-04
2.01360767e-01 3.74317169e+01 5.29389519e+00 4.34914859e-01 9.51979159e-01 -7.00063815e-01 4.92495781e-03 -4.12614071e-04
2.26926366e-01 4.21842031e+01 4.72447867e+00 4.74918364e-01 9.47763670e-01 -6.91380219e-01 5.02324067e-03 -4.51753310e-04
2.54223661e-01 4.72586009e+01 4.21412349e+00 5.05283166e-01 9.34642726e-01 -6.77134280e-01 5.45130287e-03 -4.75381321e-04
2.83302463e-01 5.26641696e+01 3.76092729e+00 5.25302412e-01 9.12943148e-01 -6.58270819e-01 5.63268365e-03 -4.68803851e-04
3.14202651e-01 5.84083228e+01 3.36056535e+00 5.35050978e-01 8.83022974e-01 -6.35422477e-01 5.01631640e-03 -4.46654479e-04
3.46952292e-01 6.44962779e+01 3.00737865e+00 5.35260089e-01 8.45647616e-01 -6.09143572e-01 4.03036529e-03 -4.27894965e-04
3.81565737e-01 7.09307023e+01 2.69514741e+00 5.27108414e-01 8.01588651e-01 -5.79779546e-01 2.93047220e-03 -4.04081239e-04
4.18041760e-01 7.77113687e+01 2.41831031e+00 5.12004027e-01 7.51958321e-01 -5.47687188e-01 1.76733502e-03 -3.59894251e-04
4.56361820e-01 8.48348300e+01 2.17087372e+00 4.91422069e-01 6.98367636e-01 -5.13090607e-01 6.53094618e-04 -3.09085686e-04
4.96488500e-01 9.22941307e+01 1.94719850e+00 4.66797641e-01 6.42418293e-01 -4.76221066e-01 -1.91756763e-04 -2.54849179e-04
5.38364227e-01 1.00078569e+02 1.74326597e+00 4.39348845e-01 5.85777263e-01 -4.37241641e-01 -3.45196225e-04 -2.19093623e-04
5.81910346e-01 1.08173522e+02 1.55653650e+00 4.10162451e-01 5.29913341e-01 -3.96372829e-01 6.46325023e-05 -2.13672808e-04
6.27026624e-01 1.16560358e+02 1.38496823e+00 3.80259067e-01 4.76009629e-01 -3.53722455e-01 5.23994511e-04 -2.14889522e-04
6.73591267e-01 1.25216436e+02 1.22750515e+00 3.50709244e-01 4.25371280e-01 -3.09534801e-01 7.75022384e-04 -1.88406702e-04
7.21461485e-01 1.34115213e+02 1.08436908e+00 3.22572070e-01 3.79406093e-01 -2.64015596e-01 7.13799731e-04 -1.75740188e-04
7.70474666e-01 1.43226459e+02 9.56753442e-01 2.96979518e-01 3.39407076e-01 -2.17405594e-01 4.57491032e-04 -1.70681451e-04
8.20450130e-01 1.52516587e+02 8.47592665e-01 2.74958837e-01 3.06528760e-01 -1.69954990e-01 5.76003052e-05 -1.54887166e-04
8.71191484e-01 1.61949090e+02 7.61096357e-01 2.57434516e-01 2.81612008e-01 -1.21847712e-01 -3.72502853e-04 -1.38971689e-04
9.22489492e-01 1.71485071e+02 7.01034952e-01 2.45230374e-01 2.64807385e-01 -7.32464379e-02 -6.95317694e-04 -1.34768040e-04
9.74125400e-01 1.81083866e+02 6.70252198e-01 2.38950957e-01 2.56173514e-01 -2.43370465e-02 -9.76185572e-04 -1.45225769e-04
1.02587460e+00 1.90703721e+02 6.70416587e-01 2.38893947e-01 2.55862192e-01 2.46891283e-02 -1.21974126e-03 -1.52528560e-04
1.07751051e+00 2.00302516e+02 7.01951729e-01 2.45082400e-01 2.63947431e-01 7.36258880e-02 -1.40010738e-03 -1.49072168e-04
1.12880852e+00 2.09838497e+02 7.63134283e-01 2.57226975e-01 2.80682634e-01 1.22249145e-01 -1.34436613e-03 -1.48286239e-04
1.17954987e+00 2.19271000e+02 8.50518032e-01 2.74781433e-01 3.06080542e-01 1.70384022e-01 -1.02758370e-03 -1.46250252e-04
1.22952533e+00 2.28561129e+02 9.59959157e-01 2.96943839e-01 3.39517564e-01 2.17830379e-01 -5.66479740e-04 -1.52455013e-04
1.27853851e+00 2.37672375e+02 1.08760486e+00 3.22730140e-01 3.79918772e-01 2.64371384e-01 6.61962320e-05 -1.67556004e-04
1.32640873e+00 2.46571151e+02 1.23084879e+00 3.51025808e-01 4.25957864e-01 3.09796515e-01 5.24576607e-04 -1.82506033e-04
1.37297338e+00 2.55227229e+02 1.38824795e+00 3.80699444e-01 4.76362535e-01 3.53906930e-01 6.56633004e-04 -2.01968739e-04
1.41808965e+00 2.63614066e+02 1.55993068e+00 4.10638663e-01 5.30188440e-01 3.96487863e-01 7.77576082e-04 -2.15745733e-04
1.46163577e+00 2.71709019e+02 1.74711062e+00 4.39823418e-01 5.86399352e-01 4.37365445e-01 1.07508341e-03 -2.19167981e-04
1.50351150e+00 2.79493457e+02 1.95229297e+00 4.67121311e-01 6.43618395e-01 4.76277451e-01 1.43579511e-03 -2.01053584e-04
1.54363818e+00 2.86952757e+02 2.17874234e+00 4.91417139e-01 7.00058360e-01 5.13079287e-01 1.82297671e-03 -1.66891053e-04
1.58195824e+00 2.94076219e+02 2.42926755e+00 5.11520231e-01 7.53930062e-01 5.47630723e-01 1.76663726e-03 -1.31754399e-04
1.61843426e+00 3.00856885e+02 2.70790002e+00 5.26176039e-01 8.03545890e-01 5.79712852e-01 1.53075892e-03 -1.12304405e-04
1.65304771e+00 3.07291310e+02 3.02068294e+00 5.33892645e-01 8.47425000e-01 6.08949146e-01 1.16859929e-03 -5.64960334e-05
1.68579735e+00 3.13379265e+02 3.37466710e+00 5.33269205e-01 8.84450731e-01 6.35079852e-01 4.43551349e-04 -1.47227385e-05
1.71669754e+00 3.19123418e+02 3.77697446e+00 5.23119232e-01 9.14134365e-01 6.57689005e-01 -1.89470505e-04 2.73775005e-06
1.74577634e+00 3.24528987e+02 4.23337400e+00 5.02760592e-01 9.36123487e-01 6.76335806e-01 -3.35997191e-04 -5.77826212e-06
1.77307363e+00 3.29603384e+02 4.74738809e+00 4.72154699e-01 9.49768590e-01 6.90360007e-01 -2.78650194e-04 -3.33381754e-05
1.79863923e+00 3.34355870e+02 5.31899422e+00 4.32037015e-01 9.54246376e-01 6.98790365e-01 -2.81468306e-04 -9.26961405e-05
1.82253105e+00 3.38797212e+02 5.94420008e+00 3.83889172e-01 9.48559421e-01 7.00295040e-01 -6.43133390e-05 -1.52139554e-04
1.84481341e+00 3.42939363e+02 6.60904951e+00 3.29834002e-01 9.31069908e-01 6.93017174e-01 3.19708953e-04 -2.15836558e-04
1.86555541e+00 3.46795172e+02 7.28349008e+00 2.72493926e-01 8.99519298e-01 6.74319180e-01 6.49631589e-04 -2.61929325e-04
1.88482953e+00 3.50378113e+02 7.91177843e+00 2.14822770e-01 8.51681315e-01 6.40635377e-01 8.18488517e-04 -2.83439622e-04
1.90271035e+00 3.53702045e+02 8.39467447e+00 1.59897689e-01 7.86335112e-01 5.87372356e-01 5.52406919e-04 -2.79466662e-04
1.91927338e+00 3.56781009e+02 8.56738324e+00 1.10650379e-01 7.04055185e-01 5.09765615e-01 -2.16170197e-04 -2.53763898e-04
1.93459415e+00 3.59629046e+02 8.19660669e+00 6.95697621e-02 6.07205772e-01 4.05864354e-01 -1.07386452e-03 -1.99130021e-04
1.94874739e+00 3.62260044e+02 7.05756404e+00 3.83432171e-02 4.98582833e-01 2.82253738e-01 -1.51901181e-03 -1.27461436e-04
1.96180633e+00 3.64687622e+02 5.14300974e+00 1.73874264e-02 3.79216344e-01 1.58419276e-01 -1.42559362e-03 -6.33758751e-05
1.97384222e+00 3.66925019e+02 2.88663044e+00 5.75665318e-03 2.49425462e-01 6.25595897e-02 -9.48648320e-04 -2.13906367e-05
1.98492386e+00 3.68985026e+02 1.04076531e+00 1.14259395e-03 1.18334387e-01 1.34673656e-02 -3.88408596e-04 -2.99260649e-06
1.99511727e+00 3.70879918e+02 1.13980805e-01 7.89948288e-05 2.03031997e-02 7.87661319e-04 -4.61135947e-05 6.15722032e-09
