#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.07165941e-01 1.27566938e-01 9.73961293e-05 2.02092011e-02 -1.06709513e-03 2.58594364e-05 -1.70470352e-07
1.50761442e-02 2.80100842e+00 1.08227898e+00 1.22937388e-03 1.19324592e-01 -1.46186543e-02 2.45853466e-04 -2.62879357e-06
2.61577753e-02 4.85987318e+00 2.93651047e+00 5.93921689e-03 2.48547815e-01 -6.44248756e-02 7.06766896e-04 -7.75393485e-06
3.81936665e-02 7.09603064e+00 5.18332077e+00 1.76909760e-02 3.77042344e-01 -1.60836143e-01 1.32710568e-03 -1.64974458e-05
5.12526145e-02 9.52226263e+00 7.08293995e+00 3.87552200e-02 4.95873500e-01 -2.84930676e-01 1.94268369e-03 -2.98167008e-05
6.54058514e-02 1.21518034e+01 8.20271964e+00 7.00566068e-02 6.04839463e-01 -4.08359211e-01 2.37384492e-03 -4.77066085e-05
8.07266232e-02 1.49982613e+01 8.55234550e+00 1.11202560e-01 7.02756945e-01 -5.11832153e-01 2.57163722e-03 -6.60430843e-05
9.72896514e-02 1.80755191e+01 8.35968438e+00 1.60553462e-01 7.86577605e-01 -5.89002931e-01 2.54609457e-03 -8.04065485e-05
1.15170465e-01 2.13976092e+01 7.85964321e+00 2.15659408e-01 8.53662837e-01 -6.41920174e-01 2.19509497e-03 -1.06721385e-04
1.34444591e-01 2.49785639e+01 7.21814170e+00 2.73626023e-01 9.03273129e-01 -6.75403542e-01 1.53150514e-03 -1.51971525e-04
1.55186592e-01 2.88322361e+01 6.53522328e+00 3.31378685e-01 9.36693920e-01 -6.94015322e-01 6.95403436e-04 -1.93516852e-04
1.77468946e-01 3.29720918e+01 5.86599809e+00 3.85928493e-01 9.56132565e-01 -7.01253664e-01 -2.41623632e-04 -2.15491681e-04
2.01360767e-01 3.74109717e+01 5.23960092e+00 4.34598322e-01 9.63717385e-01 -6.99716924e-01 -9.86067521e-04 -2.33203028e-04
2.26926366e-01 4.21608240e+01 4.67003362e+00 4.75157990e-01 9.61166260e-01 -6.91293062e-01 -1.22845077e-03 -2.42566523e-04
2.54223661e-01 4.72324094e+01 4.16087838e+00 5.06127713e-01 9.49455466e-01 -6.77250956e-01 -9.28957298e-04 -2.41643908e-04
2.83302463e-01 5.26349823e+01 3.71099858e+00 5.26808157e-01 9.29076447e-01 -6.58596179e-01 -2.92715183e-04 -2.42626922e-04
3.14202651e-01 5.83759520e+01 3.31606370e+00 5.37223733e-01 9.00357654e-01 -6.35933829e-01 4.36339834e-04 -2.28108496e-04
3.46952292e-01 6.44605330e+01 2.96875190e+00 5.38150460e-01 8.63750633e-01 -6.09710014e-01 1.06427178e-03 -2.13979137e-04
3.81565737e-01 7.08913914e+01 2.66173961e+00 5.30787314e-01 8.20100177e-01 -5.80369352e-01 1.29459102e-03 -1.96366934e-04
4.18041760e-01 7.76682998e+01 2.38804890e+00 5.16506437e-01 7.70554575e-01 -5.48267101e-01 9.00155107e-04 -1.54368796e-04
4.56361820e-01 8.47878131e+01 2.14207027e+00 4.96677458e-01 7.16392172e-01 -5.13664142e-01 2.79476545e-04 -1.21511559e-04
4.96488500e-01 9.22429798e+01 1.91920695e+00 4.72611886e-01 6.59009128e-01 -4.76778963e-01 -5.02110120e-05 -1.06439278e-04
5.38364227e-01 1.00023103e+02 1.71574990e+00 4.45457185e-01 6.00170021e-01 -4.37727585e-01 -8.58793492e-05 -8.85473351e-05
5.81910346e-01 1.08113570e+02 1.52981101e+00 4.16268548e-01 5.41987000e-01 -3.96787218e-01 -1.66548642e-04 -9.51832386e-05
6.27026624e-01 1.16495758e+02 1.35981576e+00 3.86093315e-01 4.86109072e-01 -3.54081948e-01 -3.76831342e-04 -1.18245477e-04
6.73591267e-01 1.25147039e+02 1.20440216e+00 3.56097713e-01 4.33770350e-01 -3.09825891e-01 -4.82767105e-04 -1.43020586e-04
7.21461485e-01 1.34040884e+02 1.06391236e+00 3.27448095e-01 3.86348324e-01 -2.64262034e-01 -4.57071975e-04 -1.46004051e-04
7.70474666e-01 1.43147080e+02 9.39437042e-01 3.01287651e-01 3.45111599e-01 -2.17593262e-01 -2.77251831e-04 -1.44019081e-04
8.20450130e-01 1.52432060e+02 8.33166756e-01 2.78709610e-01 3.11115010e-01 -1.70010846e-01 -1.55825858e-04 -1.49575436e-04
8.71191484e-01 1.61859335e+02 7.48405641e-01 2.60747284e-01 2.85220154e-01 -1.21737247e-01 -1.25265813e-04 -1.55106718e-04
9.22489492e-01 1.71390032e+02 6.89022456e-01 2.48277372e-01 2.67809334e-01 -7.29746002e-02 -8.82110820e-05 -1.44111924e-04
9.74125400e-01 1.80983507e+02 6.58733854e-01 2.41947781e-01 2.58992355e-01 -2.39531599e-02 1.09769594e-05 -1.28836726e-04
1.02587460e+00 1.90598030e+02 6.59576476e-01 2.42099148e-01 2.58954357e-01 2.51396258e-02 8.81025865e-05 -1.21453208e-04
1.07751051e+00 2.00191505e+02 6.91164595e-01 2.48697480e-01 2.67913669e-01 7.41345480e-02 2.54306311e-05 -1.23854462e-04
1.12880852e+00 2.09722202e+02 7.51252859e-01 2.61418923e-01 2.85797811e-01 1.22867061e-01 -1.86563621e-04 -1.27944816e-04
1.17954987e+00 2.19149477e+02 8.36721857e-01 2.79629265e-01 3.12238445e-01 1.71122755e-01 -4.38487915e-04 -1.31545263e-04
1.22952533e+00 2.28434457e+02 9.44206858e-01 3.02396058e-01 3.46692324e-01 2.18709849e-01 -5.88453648e-04 -1.44835257e-04
1.27853851e+00 2.37540653e+02 1.07010062e+00 3.28629611e-01 3.88328855e-01 2.65383522e-01 -5.44592107e-04 -1.68673162e-04
1.32640873e+00 2.46434498e+02 1.21207037e+00 3.57248356e-01 4.35917042e-01 3.10929431e-01 -3.14977032e-04 -1.93377893e-04
1.37297338e+00 2.55085778e+02 1.36887275e+00 3.87146575e-01 4.88178361e-01 3.55093187e-01 3.88803344e-05 -2.00077612e-04
1.41808965e+00 2.63467966e+02 1.54066794e+00 4.17194993e-01 5.44039474e-01 3.97687187e-01 4.79994923e-04 -2.22821420e-04
1.46163577e+00 2.71558433e+02 1.72870717e+00 4.46309767e-01 6.01926952e-01 4.38557442e-01 7.77113763e-04 -2.28246223e-04
1.50351150e+00 2.79338557e+02 1.93395650e+00 4.73389674e-01 6.60068326e-01 4.77513730e-01 7.95409198e-04 -2.05413469e-04
1.54363818e+00 2.86793724e+02 2.15899091e+00 4.97304516e-01 7.16887722e-01 5.14348974e-01 6.71605952e-04 -2.01099894e-04
1.58195824e+00 2.93913237e+02 2.40754306e+00 5.16829433e-01 7.70953999e-01 5.48885381e-01 6.55038575e-04 -2.16741036e-04
1.61843426e+00 3.00690145e+02 2.68383398e+00 5.30756012e-01 8.20535026e-01 5.80982631e-01 9.41852106e-04 -2.08657591e-04
1.65304771e+00 3.07121004e+02 2.99308355e+00 5.37759697e-01 8.64143695e-01 6.10210873e-01 1.31043843e-03 -2.18598329e-04
1.68579735e+00 3.13205585e+02 3.34264930e+00 5.36439392e-01 9.00697699e-01 6.36240243e-01 1.74634538e-03 -1.93480487e-04
1.71669754e+00 3.18946554e+02 3.74016871e+00 5.25614948e-01 9.29390969e-01 6.58815427e-01 2.00307480e-03 -1.52625594e-04
1.74577634e+00 3.24349127e+02 4.19210563e+00 5.04591696e-01 9.49711630e-01 6.77398384e-01 1.93034749e-03 -1.24932502e-04
1.77307363e+00 3.29420713e+02 4.70373653e+00 4.73342699e-01 9.61269367e-01 6.91210250e-01 1.88888939e-03 -9.35666407e-05
1.79863923e+00 3.34170565e+02 5.27621773e+00 4.32569546e-01 9.63499521e-01 6.99365022e-01 2.11260649e-03 -7.38116268e-05
1.82253105e+00 3.38609445e+02 5.90408175e+00 3.83769612e-01 9.55385657e-01 7.00599991e-01 2.57191725e-03 -5.10943887e-05
1.84481341e+00 3.42749301e+02 6.57335606e+00 3.29108097e-01 9.35387088e-01 6.93022011e-01 3.01873621e-03 -3.99393958e-05
1.86555541e+00 3.46602973e+02 7.25383641e+00 2.71318586e-01 9.01390588e-01 6.73945403e-01 3.43212655e-03 -4.60605069e-05
1.88482953e+00 3.50183928e+02 7.88866318e+00 2.13424423e-01 8.51199477e-01 6.39824693e-01 3.82203024e-03 -5.54666879e-05
1.90271035e+00 3.53506018e+02 8.37683243e+00 1.58512453e-01 7.83609963e-01 5.86129028e-01 4.13895469e-03 -6.56297610e-05
1.91927338e+00 3.56583275e+02 8.55136202e+00 1.09471326e-01 6.99328329e-01 5.08141766e-01 4.23084624e-03 -7.34992270e-05
1.93459415e+00 3.59429733e+02 8.17719378e+00 6.87076660e-02 6.01015960e-01 4.03986863e-01 3.94476977e-03 -8.10672728e-05
1.94874739e+00 3.62059274e+02 7.03030452e+00 3.78082433e-02 4.91751640e-01 2.80354540e-01 3.24822331e-03 -8.07210232e-05
1.96180633e+00 3.64485506e+02 5.11195853e+00 1.71168693e-02 3.72662048e-01 1.56896350e-01 2.24311497e-03 -6.16514289e-05
1.97384222e+00 3.66721664e+02 2.86730771e+00 5.66263127e-03 2.44103446e-01 6.19085353e-02 1.23073310e-03 -3.07886282e-05
1.98492386e+00 3.68780528e+02 1.03639982e+00 1.13573882e-03 1.15532788e-01 1.35829646e-02 4.73362733e-04 -8.43688302e-06
1.99511727e+00 3.70674371e+02 1.12582630e-01 8.02001160e-05 1.86230012e-02 8.33292124e-04 5.84731169e-05 -6.57025941e-07
