init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 1.57423522e-01 3.77154e-04 0.00000e+00 2.22353e-03 9.45340e+01
10 1.22763633e+00 3.68163e-04 3.73016e-03 2.84596e-06 9.67216e+01
20 2.36705590e+00 3.65498e-04 7.39457e-03 2.54594e-06 9.72260e+01
30 3.45115252e+00 3.65549e-04 1.10482e-02 2.42725e-06 9.71501e+01
40 4.52771433e+00 3.67578e-04 1.47216e-02 2.51375e-06 9.67358e+01
50 5.66491098e+00 3.63780e-04 1.83936e-02 2.69527e-06 9.79503e+01
60 6.76798711e+00 3.58799e-04 2.20049e-02 2.50666e-06 9.91651e+01
70 7.85913788e+00 3.61864e-04 2.55957e-02 2.56027e-06 9.79703e+01
80 8.94554283e+00 3.64219e-04 2.92501e-02 3.01659e-06 9.78103e+01
90 1.00410501e+01 3.62489e-04 3.28736e-02 2.86138e-06 9.79237e+01
100 1.11947663e+01 3.59159e-04 3.65020e-02 3.03934e-06 9.91331e+01
110 1.23110202e+01 3.58699e-04 4.00848e-02 3.17130e-06 9.89894e+01
120 1.34142347e+01 3.67986e-04 4.37050e-02 3.78901e-06 9.63588e+01
130 1.45312561e+01 3.62146e-04 4.73695e-02 3.58071e-06 9.83330e+01
140 1.56831140e+01 3.59960e-04 5.09738e-02 3.80826e-06 9.86897e+01
150 1.67637630e+01 3.65998e-04 5.45952e-02 4.33200e-06 9.72321e+01
160 1.78616606e+01 3.66874e-04 5.82507e-02 4.49807e-06 9.69187e+01
170 1.89660912e+01 3.67293e-04 6.19219e-02 4.51126e-06 9.69793e+01
180 2.00960963e+01 3.64569e-04 6.55762e-02 4.68165e-06 9.75133e+01
190 2.11564642e+01 3.65784e-04 6.92203e-02 5.10194e-06 9.69993e+01
200 2.22185015e+01 3.67060e-04 7.28862e-02 5.30651e-06 9.67375e+01
210 2.32895537e+01 3.71555e-04 7.65818e-02 5.62309e-06 9.58964e+01
220 2.43807253e+01 3.66772e-04 8.02684e-02 5.73256e-06 9.70117e+01
230 2.54809477e+01 3.67250e-04 8.39325e-02 6.17406e-06 9.66812e+01
240 2.65792511e+01 3.67156e-04 8.76119e-02 6.31752e-06 9.69588e+01
250 2.77069121e+01 3.64955e-04 9.12674e-02 6.65339e-06 9.73448e+01
260 2.87900035e+01 3.70377e-04 9.49358e-02 7.33506e-06 9.59760e+01
270 2.99125500e+01 3.70829e-04 9.86418e-02 7.33406e-06 9.58471e+01
280 3.09879076e+01 3.67879e-04 1.02334e-01 7.38817e-06 9.66217e+01
290 3.20552225e+01 3.65901e-04 1.06015e-01 7.33125e-06 9.72742e+01
300 3.31422966e+01 3.66539e-04 1.09667e-01 7.74835e-06 9.68000e+01
310 3.42100873e+01 3.68353e-04 1.13346e-01 7.71359e-06 9.65072e+01
320 3.52743929e+01 3.70539e-04 1.17036e-01 8.12861e-06 9.57926e+01
330 3.63671937e+01 3.69055e-04 1.20745e-01 8.01991e-06 9.64234e+01
340 3.74313018e+01 3.65024e-04 1.24414e-01 8.13011e-06 9.73940e+01
350 3.85310522e+01 3.67266e-04 1.28071e-01 8.61400e-06 9.66994e+01
360 3.96348738e+01 3.67217e-04 1.31746e-01 8.92728e-06 9.67485e+01
370 4.07171841e+01 3.66227e-04 1.35426e-01 9.23541e-06 9.71388e+01
380 4.18062676e+01 3.68703e-04 1.39092e-01 9.85399e-06 9.63126e+01
390 4.28986349e+01 3.63604e-04 1.42759e-01 9.98355e-06 9.77841e+01
400 4.39846363e+01 3.68494e-04 1.46407e-01 1.10401e-05 9.62319e+01
410 4.50736463e+01 3.69236e-04 1.50095e-01 1.15296e-05 9.61191e+01
420 4.62001754e+01 3.70108e-04 1.53798e-01 1.20686e-05 9.61809e+01
430 4.73314632e+01 3.66725e-04 1.57486e-01 1.23003e-05 9.69996e+01
440 4.84207555e+01 3.69632e-04 1.61156e-01 1.32292e-05 9.61405e+01
450 4.95469413e+01 3.70794e-04 1.64862e-01 1.39084e-05 9.59781e+01
460 5.06287667e+01 3.69413e-04 1.68562e-01 1.44618e-05 9.61751e+01
470 5.17762324e+01 3.70296e-04 1.72267e-01 1.50263e-05 9.59955e+01
480 5.28706326e+01 3.70169e-04 1.75970e-01 1.55310e-05 9.60349e+01
490 5.39413958e+01 3.72514e-04 1.79675e-01 1.63193e-05 9.54685e+01
500 5.50234532e+01 3.69638e-04 1.83390e-01 1.60815e-05 9.63001e+01
510 5.61164994e+01 3.67185e-04 1.87074e-01 1.60206e-05 9.69576e+01
520 5.72124082e+01 3.65322e-04 1.90729e-01 1.61242e-05 9.72039e+01
530 5.83091153e+01 3.67788e-04 1.94405e-01 1.65069e-05 9.67665e+01
