init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 1.48731028e-01 3.77154e-04 0.00000e+00 2.85154e-03 9.43558e+01
10 1.15907160e+00 3.69654e-04 3.73995e-03 4.27533e-06 9.63263e+01
20 2.17544955e+00 3.67380e-04 7.41941e-03 3.78574e-06 9.67074e+01
30 3.19719473e+00 3.68119e-04 1.10995e-02 3.62500e-06 9.65276e+01
40 4.23354294e+00 3.69527e-04 1.47908e-02 3.65196e-06 9.61709e+01
50 5.26266782e+00 3.68104e-04 1.84891e-02 3.83647e-06 9.67554e+01
60 6.28789398e+00 3.64818e-04 2.21489e-02 3.83882e-06 9.74201e+01
70 7.31276192e+00 3.65630e-04 2.57950e-02 4.09320e-06 9.70775e+01
80 8.32945693e+00 3.69531e-04 2.94808e-02 4.54264e-06 9.63714e+01
90 9.34217354e+00 3.67741e-04 3.31595e-02 4.76186e-06 9.67110e+01
100 1.03535736e+01 3.67718e-04 3.68315e-02 5.11073e-06 9.65797e+01
110 1.13627350e+01 3.67722e-04 4.05067e-02 5.47730e-06 9.65973e+01
120 1.23788842e+01 3.72626e-04 4.42069e-02 5.97685e-06 9.54999e+01
130 1.34003039e+01 3.67540e-04 4.79132e-02 6.15043e-06 9.68441e+01
140 1.44196851e+01 3.65810e-04 5.15758e-02 6.49326e-06 9.71422e+01
150 1.54592049e+01 3.69752e-04 5.52475e-02 7.07909e-06 9.59778e+01
160 1.64857609e+01 3.73889e-04 5.89697e-02 7.46946e-06 9.51252e+01
170 1.75058305e+01 3.72815e-04 6.27058e-02 7.65350e-06 9.54391e+01
180 1.85365889e+01 3.70752e-04 6.64218e-02 7.94168e-06 9.58669e+01
190 1.95628805e+01 3.74145e-04 7.01400e-02 8.53381e-06 9.49862e+01
200 2.06070426e+01 3.75166e-04 7.38892e-02 8.84637e-06 9.47495e+01
210 2.16349685e+01 3.77435e-04 7.76479e-02 9.54528e-06 9.41877e+01
220 2.26632659e+01 3.74568e-04 8.14086e-02 9.82815e-06 9.49281e+01
