init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 2.53653706e-01 3.77157e-04 0.00000e+00 9.56631e-03 9.47078e+01
10 1.89797298e+00 3.68709e-04 3.72480e-03 3.50596e-06 9.65019e+01
20 3.55999918e+00 3.65644e-04 7.40105e-03 3.36242e-06 9.73862e+01
30 5.21275897e+00 3.64378e-04 1.10432e-02 3.59558e-06 9.74464e+01
40 6.88414966e+00 3.67012e-04 1.47091e-02 3.67971e-06 9.68902e+01
50 8.59873179e+00 3.65194e-04 1.83704e-02 3.91293e-06 9.72703e+01
60 1.02410728e+01 3.63271e-04 2.20207e-02 4.09271e-06 9.78886e+01
70 1.18854080e+01 3.56247e-04 2.56183e-02 4.21509e-06 9.98300e+01
80 1.35371505e+01 3.60305e-04 2.91893e-02 4.83317e-06 9.83803e+01
90 1.51911011e+01 3.62180e-04 3.28207e-02 5.01404e-06 9.83248e+01
100 1.68399293e+01 3.59928e-04 3.64249e-02 5.40650e-06 9.86946e+01
110 1.84836059e+01 3.61838e-04 4.00371e-02 5.82264e-06 9.81551e+01
120 2.01314506e+01 3.63793e-04 4.36767e-02 6.15742e-06 9.78601e+01
130 2.18004725e+01 3.64221e-04 4.73062e-02 6.73824e-06 9.74119e+01
140 2.34661989e+01 3.63386e-04 5.09521e-02 6.87901e-06 9.78269e+01
150 2.51245619e+01 3.67161e-04 5.45963e-02 7.42427e-06 9.66136e+01
160 2.67676224e+01 3.66398e-04 5.82705e-02 7.38983e-06 9.69970e+01
170 2.84130418e+01 3.68694e-04 6.19483e-02 7.53987e-06 9.64189e+01
180 3.00691602e+01 3.70722e-04 6.56433e-02 7.78072e-06 9.60755e+01
190 3.17492197e+01 3.68098e-04 6.93305e-02 7.74706e-06 9.65069e+01
200 3.37414552e+01 3.62786e-04 7.30009e-02 7.68782e-06 9.81266e+01
210 3.54074311e+01 3.64928e-04 7.66254e-02 8.11967e-06 9.71276e+01
220 3.70452399e+01 3.67396e-04 8.03074e-02 8.43972e-06 9.69000e+01
230 3.86921503e+01 3.65807e-04 8.39688e-02 8.64693e-06 9.72399e+01
240 4.03323736e+01 3.64422e-04 8.76194e-02 8.87129e-06 9.74927e+01
250 4.19755807e+01 3.68519e-04 9.12861e-02 9.21767e-06 9.65519e+01
260 4.36188210e+01 3.66337e-04 9.49609e-02 9.16225e-06 9.70329e+01
270 4.52675479e+01 3.70692e-04 9.86379e-02 9.49834e-06 9.58429e+01
280 4.69160211e+01 3.66929e-04 1.02333e-01 9.13309e-06 9.70231e+01
290 4.85762117e+01 3.66093e-04 1.05991e-01 9.03428e-06 9.72533e+01
300 5.02227834e+01 3.65049e-04 1.09637e-01 8.84343e-06 9.72150e+01
310 5.18732511e+01 3.69492e-04 1.13319e-01 8.83181e-06 9.63673e+01
320 5.35189644e+01 3.68552e-04 1.17000e-01 8.56726e-06 9.63104e+01
330 5.51657211e+01 3.71926e-04 1.20705e-01 8.53895e-06 9.55997e+01
340 5.68097117e+01 3.66689e-04 1.24397e-01 8.30231e-06 9.69233e+01
350 5.84648057e+01 3.68894e-04 1.28067e-01 8.27960e-06 9.65095e+01
360 6.01135737e+01 3.66474e-04 1.31741e-01 8.32021e-06 9.71279e+01
370 6.17672204e+01 3.66221e-04 1.35396e-01 8.08250e-06 9.69211e+01
380 6.34181180e+01 3.69320e-04 1.39083e-01 8.26373e-06 9.62896e+01
390 6.50670042e+01 3.69619e-04 1.42780e-01 7.96279e-06 9.62392e+01
400 6.67085426e+01 3.69230e-04 1.46468e-01 7.23240e-06 9.61545e+01
410 6.83599080e+01 3.72454e-04 1.50170e-01 7.13134e-06 9.54271e+01
420 7.00049563e+01 3.68252e-04 1.53877e-01 7.14070e-06 9.65496e+01
430 7.16496302e+01 3.65027e-04 1.57552e-01 7.51657e-06 9.74603e+01
440 7.33120318e+01 3.67395e-04 1.61204e-01 7.93950e-06 9.65265e+01
450 7.50081125e+01 3.70906e-04 1.64901e-01 9.22519e-06 9.57590e+01
460 7.66757500e+01 3.74384e-04 1.68629e-01 1.03015e-05 9.49536e+01
470 7.83209321e+01 3.72360e-04 1.72363e-01 1.11624e-05 9.55207e+01
480 7.99684609e+01 3.71657e-04 1.76076e-01 1.14621e-05 9.57136e+01
490 8.16205051e+01 3.69634e-04 1.79775e-01 1.17237e-05 9.60867e+01
500 8.32652857e+01 3.67424e-04 1.83464e-01 1.21022e-05 9.68901e+01
510 8.49114638e+01 3.69194e-04 1.87134e-01 1.24032e-05 9.63269e+01
520 8.65968594e+01 3.70406e-04 1.90828e-01 1.28501e-05 9.59475e+01
530 9.30824741e+01 3.61521e-04 1.94497e-01 1.25805e-05 9.84491e+01
540 9.96516123e+01 3.63697e-04 1.98109e-01 1.30077e-05 9.74065e+01
550 1.06058133e+02 3.63999e-04 2.01767e-01 1.36874e-05 9.77657e+01
560 1.12417442e+02 3.65831e-04 2.05404e-01 1.43545e-05 9.72801e+01
570 1.18979907e+02 3.66162e-04 2.09053e-01 1.50682e-05 9.70627e+01
580 1.21232076e+02 3.66317e-04 2.12719e-01 1.60146e-05 9.70037e+01
590 1.22866042e+02 3.63896e-04 2.16376e-01 1.65802e-05 9.76695e+01
600 1.24506152e+02 3.64507e-04 2.20031e-01 1.73500e-05 9.78564e+01
610 1.26140697e+02 3.60286e-04 2.23642e-01 1.75801e-05 9.85038e+01
620 1.27793902e+02 3.65524e-04 2.27281e-01 1.88093e-05 9.74814e+01
630 1.29450393e+02 3.64755e-04 2.30919e-01 1.94629e-05 9.76641e+01
640 1.31094795e+02 3.63122e-04 2.34535e-01 1.99761e-05 9.71645e+01
650 1.32732391e+02 3.68038e-04 2.38213e-01 2.11113e-05 9.66618e+01
660 1.34380257e+02 3.46309e-04 2.41827e-01 1.87376e-05 1.03046e+02
670 1.36020366e+02 3.29888e-04 2.45193e-01 1.75144e-05 1.07514e+02
680 1.37662064e+02 3.48877e-04 2.48544e-01 2.09815e-05 1.02605e+02
690 1.39297911e+02 3.32005e-04 2.51921e-01 1.86607e-05 1.06806e+02
700 1.40934198e+02 3.57556e-04 2.55325e-01 2.37875e-05 9.95827e+01
710 1.42580032e+02 3.28527e-04 2.58767e-01 1.79326e-05 1.08148e+02
720 1.44225313e+02 3.22984e-04 2.62005e-01 1.85359e-05 1.09460e+02
730 1.45857309e+02 3.34157e-04 2.65318e-01 1.80484e-05 1.06900e+02
740 1.47491723e+02 3.21052e-04 2.68568e-01 1.74133e-05 1.09886e+02
750 1.49125484e+02 3.32721e-04 2.71816e-01 1.98228e-05 1.05994e+02
760 1.50760057e+02 3.35390e-04 2.75157e-01 1.85049e-05 1.07125e+02
770 1.52407748e+02 2.95810e-04 2.78299e-01 1.43783e-05 1.20422e+02
780 1.54051514e+02 3.00538e-04 2.81243e-01 1.81521e-05 1.16551e+02
790 1.55697551e+02 3.11914e-04 2.84342e-01 1.86222e-05 1.13016e+02
800 1.57365512e+02 3.11765e-04 2.87518e-01 1.65518e-05 1.13527e+02
810 1.59001980e+02 3.13070e-04 2.90611e-01 2.08280e-05 1.13646e+02
820 1.60678630e+02 2.89471e-04 2.93673e-01 1.45633e-05 1.22880e+02
830 1.62353503e+02 2.91863e-04 2.96535e-01 2.14014e-05 1.19716e+02
840 1.64025982e+02 3.14942e-04 2.99599e-01 1.87779e-05 1.12241e+02
850 1.65701813e+02 3.10420e-04 3.02765e-01 1.93776e-05 1.14775e+02
860 1.67359569e+02 2.93666e-04 3.05828e-01 1.95772e-05 1.21894e+02
870 1.69009817e+02 2.86912e-04 3.08703e-01 1.99539e-05 1.23202e+02
880 1.70690354e+02 3.02766e-04 3.11659e-01 2.15612e-05 1.18849e+02
890 1.72341324e+02 2.80745e-04 3.14550e-01 1.82906e-05 1.26678e+02
900 1.74001940e+02 2.69861e-04 3.17316e-01 1.92782e-05 1.32312e+02
910 1.75667721e+02 2.79521e-04 3.20000e-01 2.35819e-05 1.23972e+02
920 1.77308727e+02 2.96259e-04 3.22996e-01 3.18008e-05 1.20785e+02
930 1.78953973e+02 2.79531e-04 3.25848e-01 2.27326e-05 1.25739e+02
940 1.80592895e+02 2.99359e-04 3.28718e-01 2.99865e-05 1.18009e+02
950 1.82227684e+02 2.85669e-04 3.31633e-01 2.70836e-05 1.23742e+02
960 1.83878351e+02 2.69932e-04 3.34458e-01 2.21067e-05 1.31656e+02
970 1.85528632e+02 2.75193e-04 3.37165e-01 2.40372e-05 1.28031e+02
980 1.87162263e+02 2.58862e-04 3.39903e-01 2.39277e-05 1.38092e+02
990 1.88796532e+02 2.57925e-04 3.42447e-01 2.69885e-05 1.35464e+02
1000 1.90433500e+02 2.89232e-04 3.45204e-01 3.65015e-05 1.23035e+02
1010 1.92070536e+02 2.72055e-04 3.47995e-01 3.11995e-05 1.29956e+02
1020 1.93708048e+02 2.83150e-04 3.50742e-01 3.60931e-05 1.23974e+02
1030 1.95349079e+02 2.78306e-04 3.53599e-01 3.25938e-05 1.27030e+02
1040 1.97008879e+02 2.83157e-04 3.56388e-01 3.47827e-05 1.25782e+02
