init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 1.00702500e+00 0.00000e+00 0.00000e+00 7.76825e-03 9.43823e+01
10 5.50812187e+00 0.00000e+00 0.00000e+00 5.93038e-06 9.42427e+01
20 7.89395528e+00 0.00000e+00 0.00000e+00 4.84552e-06 9.43574e+01
30 1.00802948e+01 0.00000e+00 0.00000e+00 5.93896e-06 9.44209e+01
40 1.24038806e+01 0.00000e+00 0.00000e+00 4.33439e-06 9.44557e+01
50 1.44393385e+01 0.00000e+00 0.00000e+00 5.78051e-06 9.44751e+01
60 1.65053708e+01 0.00000e+00 0.00000e+00 6.33780e-06 9.44860e+01
70 1.82616242e+01 0.00000e+00 0.00000e+00 6.38029e-06 9.44919e+01
80 2.02121090e+01 0.00000e+00 0.00000e+00 5.87089e-06 9.44949e+01
90 2.21186857e+01 0.00000e+00 0.00000e+00 4.78332e-06 9.44961e+01
100 2.40121134e+01 0.00000e+00 0.00000e+00 6.96063e-06 9.44961e+01
110 2.57824868e+01 0.00000e+00 0.00000e+00 5.66428e-06 9.44954e+01
120 2.75904836e+01 0.00000e+00 0.00000e+00 7.27380e-06 9.44943e+01
130 2.94305701e+01 0.00000e+00 0.00000e+00 7.08665e-06 9.44929e+01
140 3.12819774e+01 0.00000e+00 0.00000e+00 7.20674e-06 9.44914e+01
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 9.90286801e-01 2.50620e-03 0.00000e+00 1.25302e-02 9.68363e+01
10 7.85857476e+00 2.40823e-03 2.48263e-02 1.77677e-04 9.99286e+01
20 1.46224951e+01 2.44005e-03 4.91644e-02 2.99526e-04 1.01290e+02
30 2.14400799e+01 2.33303e-03 7.29391e-02 3.15031e-04 1.00657e+02
40 2.79141180e+01 2.26157e-03 9.58516e-02 3.46334e-04 9.89261e+01
50 3.42018821e+01 2.19999e-03 1.17814e-01 3.38825e-04 1.00713e+02
60 4.09278892e+01 2.08176e-03 1.39257e-01 3.09115e-04 1.01793e+02
70 4.70044895e+01 2.02952e-03 1.60250e-01 2.50809e-04 9.94614e+01
80 5.35833389e+01 1.69134e-03 1.79360e-01 2.23368e-04 1.01142e+02
90 6.03540918e+01 1.42641e-03 1.95309e-01 1.47178e-04 1.01938e+02
100 6.79859223e+01 1.67990e-03 2.11001e-01 2.57117e-04 1.02378e+02
110 7.50971848e+01 1.63971e-03 2.27439e-01 3.43704e-04 1.04656e+02
120 8.17082700e+01 1.38872e-03 2.43303e-01 2.74278e-04 1.08694e+02
130 8.86127784e+01 1.30680e-03 2.57057e-01 2.69326e-04 1.14497e+02
140 9.51785971e+01 1.22695e-03 2.69985e-01 2.48771e-04 1.15192e+02
150 1.01574903e+02 9.20181e-04 2.81258e-01 1.63127e-04 1.20710e+02
160 1.08557572e+02 9.97903e-04 2.90856e-01 2.39476e-04 1.20717e+02
170 1.15044843e+02 9.58682e-04 3.01152e-01 2.53391e-04 1.21410e+02
