#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.80067965e+02 -6.79611657e-03
4.44586130e-02 8.00557195e+00 1.64350895e+02 -7.00095978e-03
1.05891143e-01 1.90676026e+01 1.03786273e+02 -3.54557343e-03
1.89004103e-01 3.40335842e+01 3.84732198e+01 1.86405433e-03
2.98292904e-01 5.37129961e+01 1.78151267e+01 -1.42457526e-03
4.36744233e-01 7.86436451e+01 1.02998668e+01 1.50618044e-02
6.04089831e-01 1.08777226e+02 5.75717988e+00 5.67761840e-03
7.95245476e-01 1.43198234e+02 3.22804824e+00 -1.12706532e-02
1.00000000e+00 1.80067965e+02 -1.07143090e-02 -1.91135876e-02
1.20475452e+00 2.16937695e+02 -3.23322948e+00 -1.20976146e-03
1.39591017e+00 2.51358703e+02 -5.77398019e+00 -4.35940684e-03
1.56325577e+00 2.81492284e+02 -1.03662803e+01 2.81467460e-02
1.70170710e+00 3.06422933e+02 -1.76961366e+01 2.99400731e-02
1.81099590e+00 3.26102345e+02 -3.85588515e+01 -9.40629814e-03
1.89410886e+00 3.41068327e+02 -1.03774217e+02 -2.57653933e-02
1.95554139e+00 3.52130357e+02 -1.64234572e+02 -9.59830146e-03
2.00000000e+00 3.60135929e+02 -1.79939582e+02 -5.26277496e-03
