#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
2.22293065e-02 3.99895922e+00 1.55596310e+00 7.44002073e-04 8.44061165e-02 -3.03045244e-03 5.21151272e-04 3.76533330e-06
7.51748782e-02 1.35236460e+01 1.52176503e+01 1.38450688e-02 4.57584272e-01 -1.53438468e-01 5.43309331e-03 -1.13645849e-04
1.47447623e-01 2.65252104e+01 2.58282992e+01 5.97614282e-02 7.86906670e-01 -4.41020554e-01 2.70038614e-03 -1.13372205e-04
2.43648504e-01 4.38313462e+01 1.96250485e+01 1.74822326e-01 8.32196468e-01 -6.16435915e-01 4.98593522e-03 3.93147108e-05
3.67518569e-01 6.61150525e+01 1.28746829e+01 2.50816970e-01 6.78223757e-01 -6.24614782e-01 -3.99042287e-03 1.94937800e-04
5.20417032e-01 9.36208462e+01 8.03297361e+00 2.52741440e-01 4.66911644e-01 -5.15740167e-01 -1.48217321e-03 -2.86004704e-04
6.99667653e-01 1.25867283e+02 4.75208146e+00 2.16009001e-01 2.93203343e-01 -3.25888479e-01 2.62636583e-05 1.33454756e-05
8.97622738e-01 1.61478574e+02 2.95123370e+00 1.81885935e-01 1.95337856e-01 -1.06807755e-01 1.72219659e-03 -8.20634292e-05
1.10237726e+00 1.98313056e+02 2.97328151e+00 1.82371272e-01 1.96123286e-01 1.08479760e-01 4.56124695e-04 -1.20090901e-07
1.30033235e+00 2.33924348e+02 4.77360955e+00 2.15903590e-01 2.94153232e-01 3.25484986e-01 6.23337040e-04 -5.64513895e-05
1.47958297e+00 2.66170784e+02 8.09119702e+00 2.53125405e-01 4.67889917e-01 5.18855607e-01 5.01677711e-03 -3.40497889e-05
1.63248143e+00 2.93676578e+02 1.29212892e+01 2.51284179e-01 6.77813088e-01 6.25426237e-01 3.73773048e-03 7.29804486e-05
1.75635150e+00 3.15960284e+02 1.96973424e+01 1.74753987e-01 8.29985562e-01 6.17508545e-01 -1.80570545e-03 -8.57606600e-05
1.85255238e+00 3.33266420e+02 2.58827231e+01 6.01501620e-02 7.84974683e-01 4.43491375e-01 -6.95732298e-03 -2.81887329e-04
1.92482512e+00 3.46267985e+02 1.53344765e+01 1.38926276e-02 4.57735473e-01 1.54716985e-01 -2.44904963e-03 -5.46789001e-05
1.97777069e+00 3.55792671e+02 1.56842822e+00 7.49407480e-04 8.44853575e-02 2.94042092e-03 -1.53251164e-04 7.20425219e-06
