================================================================================
HPC^2 EXECUTION PARAMETERS
================================================================================
                       profile: true
                       overlap: true
                           thr: [4]
Default used for parameters:
                           upd: 1
                           soc: 0
                           dev: 1
                           arc: []
                           str: []
                           wgt: []
                           smf: []
--------------------------------------------------------------------------------
 dev[0]: arc=0, thr=4, wgt=1.000000, smf=1
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
 rank 0, part 0: inn 122880, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 393216, ifc 8192, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 126976, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 4096, ifc 0, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 2, ifc 3, hal 0; send 0; swap 0; recv 0
dim_: 1, ncmp: 1, dim: 1
#  ite wclock  ts time  resSolver  max(ux) 
0 4.08078568e+00 4.38833e-03 0.00000e+00 2.70274e-04 9.20649e+01
10 1.35504390e+01 4.45012e-03 4.41965e-02 3.29848e-05 9.31100e+01
20 2.66272101e+01 4.45385e-03 8.87709e-02 2.80654e-05 9.27082e+01
30 4.05226617e+01 4.49303e-03 1.33504e-01 2.39978e-05 9.14705e+01
40 5.48241571e+01 4.48179e-03 1.78396e-01 1.78629e-05 9.12878e+01
50 7.03699196e+01 4.51557e-03 2.23342e-01 1.49323e-05 9.09640e+01
60 8.60880188e+01 4.51049e-03 2.68426e-01 1.25593e-05 9.08143e+01
70 1.01824227e+02 4.50729e-03 3.13553e-01 1.18036e-05 9.07284e+01
80 1.17962189e+02 4.51804e-03 3.58619e-01 1.11100e-05 9.07128e+01
90 1.34097849e+02 4.53059e-03 4.03860e-01 1.04827e-05 9.05900e+01
100 1.49872515e+02 4.53232e-03 4.49151e-01 1.15158e-05 9.06918e+01
110 1.65438448e+02 4.52861e-03 4.94495e-01 1.17220e-05 9.06243e+01
120 1.81696132e+02 4.54120e-03 5.39831e-01 1.45742e-05 9.04452e+01
130 1.98967377e+02 4.54129e-03 5.85231e-01 2.01535e-05 9.04454e+01
140 2.16041148e+02 4.53996e-03 6.30654e-01 2.60365e-05 9.03919e+01
150 2.33011049e+02 4.35216e-03 6.74543e-01 3.63065e-05 9.03876e+01
160 2.49769704e+02 3.91204e-03 7.15855e-01 4.98172e-05 9.05057e+01
170 2.64909949e+02 3.00773e-03 7.50461e-01 6.24213e-05 9.78458e+01
180 2.79302110e+02 2.78817e-03 7.80462e-01 9.51731e-05 1.06203e+02
190 2.93102609e+02 2.07315e-03 8.06046e-01 1.13792e-04 1.32406e+02
200 3.06558448e+02 1.83823e-03 8.25639e-01 1.34993e-04 1.28698e+02
210 3.19967022e+02 2.01375e-03 8.44403e-01 1.82596e-04 1.29501e+02
220 3.33549606e+02 2.12251e-03 8.63955e-01 2.34874e-04 1.29016e+02
230 3.46962489e+02 1.74433e-03 8.82945e-01 2.43218e-04 1.31410e+02
