#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.39092815e+02 -6.35201888e-02
2.03868308e-02 2.83566168e+00 1.33247203e+02 -6.43489590e-02
4.44586130e-02 6.18387363e+00 1.11304977e+02 -6.74169012e-02
7.27650869e-02 1.01211008e+01 7.47893614e+01 -6.88622459e-02
1.05891143e-01 1.47286972e+01 4.44758051e+01 -2.99215209e-02
1.44439395e-01 2.00904820e+01 2.69543382e+01 1.48977902e-02
1.89004103e-01 2.62891127e+01 1.73233442e+01 2.91814139e-02
2.40135301e-01 3.34010950e+01 1.17399590e+01 4.15235735e-02
2.98292904e-01 4.14903997e+01 8.33668323e+00 2.63531131e-02
3.63792187e-01 5.06008792e+01 6.21287659e+00 1.64151899e-02
4.36744233e-01 6.07479847e+01 4.83855422e+00 3.45964800e-04
5.16997593e-01 7.19106505e+01 3.72112371e+00 -1.74880517e-02
6.04089831e-01 8.40245550e+01 2.90947381e+00 -3.71262533e-02
6.97219115e-01 9.69781693e+01 2.14105591e+00 -4.00812290e-02
7.95245476e-01 1.10612932e+02 1.45617368e+00 -3.31796213e-02
8.96728184e-01 1.24728447e+02 7.80118213e-01 -2.33940781e-02
1.00000000e+00 1.39092815e+02 1.60880302e-02 -4.93773201e-03
1.10327182e+00 1.53457182e+02 -7.32149616e-01 1.29125518e-03
1.20475452e+00 1.67572698e+02 -1.48850281e+00 1.76335434e-02
1.30278088e+00 1.81207460e+02 -2.16156885e+00 5.64626888e-02
1.39591017e+00 1.94161075e+02 -2.86559936e+00 3.30160193e-02
1.48300241e+00 2.06274979e+02 -3.66383089e+00 -2.62300516e-02
1.56325577e+00 2.17437645e+02 -4.74338025e+00 -6.46943580e-03
1.63620781e+00 2.27584750e+02 -6.26341040e+00 2.55952923e-02
1.70170710e+00 2.36695230e+02 -8.50918153e+00 3.99212967e-02
1.75986470e+00 2.44784535e+02 -1.19425032e+01 5.24010960e-02
1.81099590e+00 2.51896517e+02 -1.75020902e+01 7.55212709e-02
1.85556060e+00 2.58095148e+02 -2.71733791e+01 5.00175206e-02
1.89410886e+00 2.63456932e+02 -4.46831179e+01 -3.33330898e-03
1.92723491e+00 2.68064529e+02 -7.48174329e+01 -4.65006642e-02
1.95554139e+00 2.72001756e+02 -1.10941269e+02 -6.65756147e-02
1.97961317e+00 2.75349968e+02 -1.32524158e+02 -7.02189559e-02
2.00000000e+00 2.78185630e+02 -1.38292725e+02 -6.93774832e-02
