#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
1.01934154e-02 1.41783084e+00 1.03328320e+00 1.78747998e-04 4.76869339e-02 -2.27892060e-03 -5.42745383e-04 -1.66636800e-06
3.24227219e-02 4.50976765e+00 9.73473134e+00 3.15667183e-03 2.39638496e-01 -5.00203131e-02 -4.75861942e-03 -4.31492161e-06
5.86118499e-02 8.15248719e+00 2.51636829e+01 1.94858072e-02 4.40603302e-01 -2.11936127e-01 -1.44928238e-02 -6.99744417e-05
8.93281151e-02 1.24248990e+01 3.93396862e+01 5.99875791e-02 5.89691021e-01 -3.73295082e-01 -3.05971245e-02 2.91304595e-05
1.25165269e-01 1.74095896e+01 4.91939341e+01 1.24073560e-01 6.77264110e-01 -4.62545721e-01 -4.46622766e-02 3.43034821e-04
1.66721749e-01 2.31897974e+01 5.60453443e+01 1.99580062e-01 7.14264130e-01 -4.98557897e-01 -4.98336486e-02 3.11438738e-04
2.14569702e-01 2.98451039e+01 6.11998564e+01 2.70719579e-01 7.12829465e-01 -5.04520746e-01 -3.60590369e-02 7.24249144e-04
2.69214103e-01 3.74457473e+01 6.52819604e+01 3.23723523e-01 6.83308067e-01 -4.91420237e-01 -2.19320116e-02 5.55702675e-04
3.31042545e-01 4.60456395e+01 6.86817334e+01 3.50476280e-01 6.29137905e-01 -4.64971282e-01 -1.43081533e-02 3.38791600e-04
4.00268210e-01 5.56744320e+01 7.16524410e+01 3.51297831e-01 5.56556708e-01 -4.25819114e-01 -6.71501526e-03 5.11170300e-04
4.76870913e-01 6.63293176e+01 7.43081413e+01 3.29609730e-01 4.73588064e-01 -3.78087853e-01 -7.55290725e-03 1.21201892e-04
5.60543712e-01 7.79676027e+01 7.66147179e+01 2.94360650e-01 3.89365234e-01 -3.22809817e-01 -1.88779166e-02 4.42445061e-05
6.50654473e-01 9.05013621e+01 7.86266287e+01 2.51823050e-01 3.10759569e-01 -2.58332139e-01 -3.60950874e-02 -1.91817625e-04
7.46232296e-01 1.03795551e+02 8.02193402e+01 2.13435511e-01 2.44970751e-01 -1.90646456e-01 -5.46836069e-02 4.73470088e-05
8.45986830e-01 1.17670689e+02 8.13655677e+01 1.84188843e-01 1.97754032e-01 -1.15524723e-01 -6.90545219e-02 -1.08433953e-04
9.48364092e-01 1.31910631e+02 8.20028884e+01 1.68237360e-01 1.72961152e-01 -4.10873319e-02 -8.13748871e-02 8.83387565e-05
1.05163591e+00 1.46274999e+02 8.20209590e+01 1.68870567e-01 1.71569018e-01 3.70164861e-02 -8.21841152e-02 2.07111901e-04
1.15401317e+00 1.60514940e+02 8.14290423e+01 1.84697211e-01 1.93095646e-01 1.11480727e-01 -7.91754904e-02 4.07901816e-05
1.25376770e+00 1.74390079e+02 8.02592312e+01 2.13006695e-01 2.38704927e-01 1.85538481e-01 -6.49160989e-02 4.04576375e-04
1.34934553e+00 1.87684268e+02 7.86568916e+01 2.49413855e-01 3.03459514e-01 2.53874094e-01 -3.54958094e-02 5.44103005e-04
1.43945629e+00 2.00218027e+02 7.66829807e+01 2.88276643e-01 3.80834717e-01 3.18779928e-01 -1.79134407e-02 1.66359647e-04
1.52312909e+00 2.11856312e+02 7.44006732e+01 3.21621714e-01 4.63992956e-01 3.73827251e-01 -2.20432701e-02 -4.18318334e-05
1.59973179e+00 2.22511198e+02 7.17941461e+01 3.41738274e-01 5.45628710e-01 4.21870187e-01 -1.78354908e-02 2.60054091e-04
1.66895745e+00 2.32139990e+02 6.88015658e+01 3.41414180e-01 6.18158447e-01 4.58648034e-01 -9.41605931e-03 6.13471431e-04
1.73078590e+00 2.40739882e+02 6.52951039e+01 3.15000455e-01 6.74852797e-01 4.85029139e-01 -3.80519385e-03 6.22610798e-04
1.78543030e+00 2.48340526e+02 6.11332566e+01 2.63865339e-01 7.04083911e-01 4.98281325e-01 4.33638942e-03 8.52755380e-04
1.83327825e+00 2.54995832e+02 5.59477025e+01 1.94848333e-01 7.02985720e-01 4.92365870e-01 1.79828911e-02 8.03196033e-04
1.87483473e+00 2.60776040e+02 4.90142085e+01 1.21263061e-01 6.66094074e-01 4.56100587e-01 2.69864296e-02 4.84245611e-04
1.91067188e+00 2.65760731e+02 3.91011249e+01 5.87178422e-02 5.79105158e-01 3.68376471e-01 2.50318215e-02 1.72033120e-04
1.94138815e+00 2.70033142e+02 2.49306791e+01 1.90703312e-02 4.32689935e-01 2.08046020e-01 1.62498459e-02 2.61218320e-05
1.96757728e+00 2.73675862e+02 9.60660440e+00 3.08956400e-03 2.35300022e-01 4.88217756e-02 6.47176352e-03 -6.93969441e-06
1.98980658e+00 2.76767799e+02 1.01818633e+00 1.74921988e-04 4.67938688e-02 2.21983533e-03 7.46101809e-04 -2.32857924e-06
